state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,04-04-2019,1661,2222,2150
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,06-04-2019,1500,2221,2085
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,12-04-2019,1820,2200,2130
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,14-04-2019,2201,2201,2201
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,19-04-2019,1851,2222,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,20-04-2019,1881,2301,2220
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-04-2019,1877,2201,2152
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,24-04-2019,1830,2299,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,25-04-2019,1871,2287,2181
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,26-04-2019,1868,2240,2101
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,27-04-2019,1876,2290,2240
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-05-2019,1850,2260,2200
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,03-05-2019,1751,2212,2161
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,04-05-2019,1850,2270,2200
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,08-05-2019,1870,2230,2182
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,09-05-2019,1851,2300,2099
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,10-05-2019,1840,2300,2281
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,11-05-2019,1881,2288,2260
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,14-05-2019,1866,2280,2160
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,15-05-2019,1700,2301,2121
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,21-05-2019,1880,2241,2150
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,22-05-2019,1930,2281,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-05-2019,1930,2250,2172
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,24-05-2019,1891,2190,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,25-05-2019,1900,2285,2050
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,28-05-2019,1950,2197,2099
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,29-05-2019,1941,2270,2131
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,30-05-2019,1950,2199,2070
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,31-05-2019,1933,2125,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,01-06-2019,1942,2241,2141
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,04-06-2019,1900,2251,2130
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,06-06-2019,1750,2206,2110
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,07-06-2019,1950,2160,2099
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,08-06-2019,1931,2230,2120
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,11-06-2019,1899,2101,2051
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,12-06-2019,1801,2100,1999
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,13-06-2019,1861,2120,1951
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,14-06-2019,1855,2159,2005
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,15-06-2019,1891,2122,1999
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,18-06-2019,1900,2080,2030
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,19-06-2019,1865,2065,2002
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,20-06-2019,1916,2080,1953
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,21-06-2019,1875,2051,2001
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,22-06-2019,1750,2002,1911
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,25-06-2019,1963,2020,2012
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,26-06-2019,1851,2135,2025
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,27-06-2019,1840,2130,2016
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,28-06-2019,1796,1990,1899
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,29-06-2019,1881,2151,1910
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-07-2019,1851,2100,2090
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,03-07-2019,1871,2151,2080
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,04-07-2019,1854,2010,1940
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,05-07-2019,1825,1925,1901
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,06-07-2019,1975,2050,2000
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,09-07-2019,1850,1950,1909
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,10-07-2019,1900,2007,1906
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,11-07-2019,1921,1921,1921
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,13-07-2019,1909,2150,2070
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,16-07-2019,1896,2005,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,17-07-2019,1911,2099,1960
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,18-07-2019,1870,2101,1988
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,19-07-2019,1960,2101,2051
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,20-07-2019,1999,2101,2004
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-07-2019,2026,2026,2026
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,24-07-2019,1990,2202,2080
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,25-07-2019,1999,2191,2012
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,26-07-2019,1999,2170,2131
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,27-07-2019,1991,2100,2015
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,30-07-2019,2030,2151,2126
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,31-07-2019,2000,2030,2025
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,01-08-2019,2000,2113,2091
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-08-2019,2001,2001,2001
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,03-08-2019,2000,2069,2062
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,07-08-2019,2020,2225,2081
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,03-02-2019,2200,2200,2200
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,06-02-2019,2200,2200,2200
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,10-02-2019,2200,2300,2250
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,13-02-2019,2300,2300,2300
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,17-02-2019,2300,2300,2300
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,20-02-2019,2100,2100,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,03-03-2019,2000,2000,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,17-03-2019,2000,2000,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,24-03-2019,2000,2000,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,27-03-2019,1950,2200,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,03-04-2019,2000,2100,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,07-04-2019,1950,2200,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,10-04-2019,2000,2200,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,14-04-2019,2000,2200,2050
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,17-04-2019,2000,2100,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,21-04-2019,2100,2100,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,24-04-2019,1950,2050,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,28-04-2019,2100,2100,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,05-05-2019,2100,2150,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,08-05-2019,2000,2100,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,12-05-2019,2000,2200,2100
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,02-06-2019,2100,2150,2125
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,30-06-2019,2000,2000,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,17-07-2019,2000,2000,2000
Maharashtra,Ahmednagar,Newasa,Wheat,Maharashtra 2189,24-07-2019,2200,2200,2200
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,02-01-2019,2100,2800,2450
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,09-01-2019,2000,2400,2100
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,11-01-2019,2200,3000,2830
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,16-01-2019,2200,3000,2500
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,19-01-2019,1890,2600,2513
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,23-01-2019,2000,2900,2500
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,26-01-2019,2000,2800,2633
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,29-01-2019,1780,2400,2000
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,02-02-2019,2250,2800,2650
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,06-02-2019,2000,2700,2400
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,08-02-2019,2000,2500,2100
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,09-02-2019,2000,2500,2100
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,12-02-2019,2450,2650,2533
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,13-02-2019,2450,2780,2650
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,16-02-2019,1800,2750,2233
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,17-02-2019,2000,2800,2450
Maharashtra,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,23-02-2019,1850,2450,2100
